"fthrc","ftsanders","ideo5","pid3","race_white","gender","birthyr"
89,88,2,1,1,1,1956
38,39,3,1,1,2,1962
6,2,3,3,1,1,1974
100,10,3,1,1,2,1963
2,55,3,3,1,1,1948
56,90,2,1,1,2,1992
97,50,4,1,1,1,1959
0,1,3,4,1,1,1992
81,100,2,1,1,1,1955
100,1,2,1,0,1,1952
1,3,5,2,1,1,1953
85,60,3,4,1,2,1958
12,70,3,2,1,2,1955
82,88,1,1,0,1,1983
9,19,2,3,1,2,1991
57,59,3,2,1,1,1980
67,55,2,1,1,1,1982
5,21,3,3,1,1,1936
1,16,3,4,1,1,1930
91,75,2,1,0,2,1941
11,61,3,3,1,2,1956
20,74,4,2,1,2,1984
57,48,3,3,1,1,1979
78,50,1,1,0,1,1992
0,0,4,2,1,1,1945
3,50,4,3,1,2,1968
0,0,4,2,1,1,1977
100,50,3,1,1,2,1968
25,35,3,3,1,1,1993
99,0,2,1,0,2,1972
84,94,2,3,1,2,1972
0,0,5,2,1,1,1921
55,13,3,1,1,2,1964
2,5,3,3,0,2,1940
54,90,3,1,0,1,1979
20,100,1,1,1,1,1989
9,16,4,3,1,1,1939
56,64,6,4,0,1,1972
2,10,5,2,0,1,1964
92,58,6,3,1,2,1972
78,96,1,1,1,1,1956
75,75,2,1,1,2,1946
65,99,2,1,1,2,1983
40,51,3,3,1,1,1991
89,99,6,1,1,2,1961
3,51,3,3,1,2,1975
70,50,3,1,1,2,1958
12,16,3,3,0,1,1963
20,90,1,1,1,1,1973
0,0,5,3,1,2,1956
38,54,1,3,0,2,1987
9,53,3,2,1,2,1986
95,84,1,1,1,1,1994
90,50,3,1,0,1,1956
6,51,3,1,0,2,1973
100,998,3,1,1,2,1950
60,86,2,1,1,2,1944
53,27,5,2,0,2,1961
81,6,3,1,0,2,1974
1,71,3,3,0,2,1955
30,50,2,3,1,1,1972
39,60,3,1,1,1,1971
2,4,5,2,1,1,1962
9,18,5,1,0,1,1978
65,37,5,1,0,2,1982
41,59,3,2,1,2,1955
100,89,1,1,0,1,1983
53,77,1,1,0,2,1992
97,15,3,1,0,2,1958
81,51,6,1,0,2,1954
98,67,2,1,1,2,1943
50,51,3,3,1,1,1954
100,89,1,1,1,2,1973
2,1,3,3,0,2,1987
54,77,2,3,1,1,1989
60,30,6,3,0,1,1975
95,99,1,1,1,1,1983
3,61,4,2,1,2,1939
34,36,4,1,0,2,1985
3,3,6,3,0,2,1965
21,59,4,2,1,1,1940
17,49,3,3,1,1,1978
3,2,6,4,1,1,1984
10,30,4,3,1,2,1949
50,55,3,2,0,2,1943
10,72,3,3,1,1,1973
86,60,1,1,1,1,1988
41,30,3,2,1,2,1962
69,80,6,1,0,2,1960
0,20,4,2,1,2,1938
92,6,1,1,0,1,1995
0,18,4,4,1,2,1959
0,0,4,3,1,2,1956
0,5,5,2,1,2,1981
85,70,4,2,1,1,1973
50,50,3,3,0,1,1994
100,59,3,1,0,1,1993
61,60,4,1,1,1,1958
0,0,5,3,1,1,1973
2,50,4,2,1,2,1979
85,41,2,1,0,2,1967
48,50,3,3,1,1,1985
79,86,1,1,0,2,1978
51,48,3,3,0,2,1955
74,92,1,1,1,2,1954
95,81,3,1,1,2,1970
1,31,3,2,1,1,1962
24,51,4,2,1,1,1949
80,46,3,3,0,1,1976
1,99,3,3,1,1,1950
70,10,2,1,0,2,1947
97,75,2,1,0,2,1972
20,53,5,2,1,2,1940
51,3,6,3,1,1,1968
1,10,5,2,1,1,1968
100,58,5,1,0,2,1995
5,25,5,2,1,1,1972
56,50,4,3,0,2,1951
4,94,3,3,0,1,1990
65,71,2,1,1,2,1960
2,2,4,3,1,2,1980
34,40,3,2,0,2,1991
53,0,2,1,0,2,1960
99,72,3,1,0,2,1988
2,51,6,2,1,1,1971
81,6,3,1,1,1,1957
100,85,2,1,1,2,1973
52,6,6,1,1,1,1968
0,10,6,4,0,1,1988
75,73,2,1,1,2,1975
92,18,3,1,1,2,1934
100,51,1,1,0,1,1947
90,77,3,1,0,2,1989
95,89,5,2,0,2,1980
59,50,3,3,1,1,1992
11,6,3,2,1,1,1952
40,88,6,3,1,2,1958
89,80,1,1,0,2,1963
77,81,2,3,1,1,1953
48,98,2,1,1,2,1991
62,38,3,3,1,1,1977
91,29,6,1,1,1,1985
1,14,5,2,1,1,1976
100,81,2,1,0,2,1966
2,2,4,2,1,2,1993
53,99,1,1,1,1,1990
71,31,3,3,0,1,1954
15,40,4,3,0,1,1972
2,20,2,2,0,1,1957
